#timestamp [ns],w_RS_S_x [rad s^-1],w_RS_S_y [rad s^-1],w_RS_S_z [rad s^-1],a_RS_S_x [m s^-2],a_RS_S_y [m s^-2],a_RS_S_z [m s^-2]
24157591000,3.490658503988659e-08,0.0,0.0,0.009576806640625,-0.1292868896484375,9.859322436523437
24158587000,0.0,0.0,-1.7453292519943295e-08,0.009576806640625,-0.1292868896484375,9.859322436523437
24159583000,0.0,0.0,-1.7453292519943295e-08,0.0,-0.1005564697265625,9.854534033203125
24160577000,1.7453292519943295e-08,0.0,-1.7453292519943295e-08,-0.009576806640625,-0.062249243164062495,9.86411083984375
24161573000,-1.7453292519943295e-08,1.7453292519943295e-08,0.0,-0.0047884033203125,-0.033518823242187495,9.878476049804688
24162569000,-3.490658503988659e-08,1.7453292519943295e-08,0.0,-0.0143652099609375,0.009576806640625,9.873687646484374
24163564000,-1.7453292519943295e-08,0.0,0.0,-0.023942016601562498,0.0,9.878476049804688
24164560000,-3.490658503988659e-08,0.0,1.7453292519943295e-08,-0.033518823242187495,-0.033518823242187495,9.878476049804688
24165556000,-5.235987755982989e-08,0.0,1.7453292519943295e-08,-0.0143652099609375,-0.1005564697265625,9.883264453125
24166549000,0.0,0.0,1.7453292519943295e-08,0.023942016601562498,-0.143652099609375,9.873687646484374
24167545000,1.7453292519943295e-08,0.0,1.7453292519943295e-08,0.0526724365234375,-0.1580173095703125,9.86411083984375
24168541000,3.490658503988659e-08,0.0,3.490658503988659e-08,0.05746083984375,-0.16759411621093748,9.854534033203125
24169537000,1.7453292519943295e-08,1.7453292519943295e-08,3.490658503988659e-08,0.0526724365234375,-0.1771709228515625,9.859322436523437
24170532000,0.0,0.0,5.235987755982989e-08,0.0526724365234375,-0.181959326171875,9.873687646484374
24171528000,1.7453292519943295e-08,0.0,3.490658503988659e-08,0.06703764648437499,-0.1867477294921875,9.883264453125
24172522000,1.7453292519943295e-08,0.0,1.7453292519943295e-08,0.062249243164062495,-0.19153613281249998,9.892841259765625
24173517000,1.7453292519943295e-08,0.0,1.7453292519943295e-08,0.047884033203124995,-0.19632453613281248,9.883264453125
24174513000,-1.7453292519943295e-08,-1.7453292519943295e-08,0.0,0.047884033203124995,-0.19632453613281248,9.868899243164062
24175509000,-1.7453292519943295e-08,0.0,1.7453292519943295e-08,0.05746083984375,-0.16280571289062498,9.849745629882811
24176504000,1.7453292519943295e-08,0.0,0.0,0.05746083984375,-0.11013327636718749,9.835380419921874
24177500000,3.490658503988659e-08,0.0,0.0,0.0383072265625,-0.047884033203124995,9.82580361328125
