timestamp_s,x_m,y_m,z_m,pitch_deg,yaw_deg,roll_deg
2.166666666,0.010626873,-0.068924114,-0.023912407,0.556062,-0.075177,-1.993883
2.200000000,0.010124426,-0.072062701,-0.027492044,0.567958,-0.069288,-2.013941
2.233333333,0.010765271,-0.074744768,-0.029454065,0.589829,-0.070486,-2.076318
2.266666666,0.011374520,-0.075953074,-0.030987181,0.607448,-0.071588,-2.164635
2.300000000,0.010796470,-0.076597840,-0.033845138,0.605712,-0.074725,-2.255798
2.333333333,0.010543309,-0.076283991,-0.035589695,0.610662,-0.076545,-2.363883
2.366666666,0.011066400,-0.076742008,-0.037118159,0.625533,-0.078069,-2.435479
2.400000000,0.011913821,-0.077719212,-0.038734287,0.656879,-0.080086,-2.558383
2.433333333,0.011913993,-0.078728512,-0.042473745,0.674569,-0.070603,-2.606688
2.466666666,0.012477802,-0.079070002,-0.044148229,0.681410,-0.074337,-2.647490
2.500000000,0.013166455,-0.079449065,-0.045765597,0.692655,-0.077978,-2.682509
2.533333333,0.014512320,-0.080116816,-0.046859276,0.707116,-0.082106,-2.723486
2.566666666,0.016340362,-0.081012323,-0.047778167,0.728272,-0.086216,-2.774628
2.600000000,0.017626179,-0.081081584,-0.049261183,0.744013,-0.088968,-2.809258
2.633333333,0.020792767,-0.082093887,-0.049672365,0.776251,-0.093402,-2.876522
2.666666666,0.020503614,-0.080046810,-0.053378057,0.794328,-0.087612,-2.950519
2.700000000,0.021935606,-0.078351244,-0.055158112,0.813124,-0.089323,-3.007991
2.733333333,0.023497196,-0.076220147,-0.057038315,0.831919,-0.091052,-3.065463
2.766666666,0.025237288,-0.073625669,-0.058980972,0.850712,-0.092801,-3.122937
2.800000000,0.027132384,-0.070530325,-0.060971614,0.869503,-0.094569,-3.180410
2.833333333,0.029228201,-0.066912480,-0.063115798,0.888292,-0.096355,-3.237886
2.866666666,0.031447798,-0.062813073,-0.065380692,0.907080,-0.098160,-3.295361
2.900000000,0.033832699,-0.058150284,-0.067837469,0.925865,-0.099995,-3.352828
2.933333333,0.036463585,-0.052944664,-0.070534289,0.944649,-0.101838,-3.410305
2.966666666,0.039224375,-0.047338735,-0.073178135,0.963431,-0.103700,-3.467783
3.000000000,0.042249940,-0.041099664,-0.075928360,0.982210,-0.105580,-3.525262
3.033333333,0.045537155,-0.034303073,-0.078754723,1.000988,-0.107480,-3.582742
3.066666666,0.049113613,-0.026942953,-0.081543073,1.019765,-0.109398,-3.640223
3.100000000,0.053205848,-0.018928176,-0.084101520,1.038540,-0.111336,-3.697705
3.133333333,0.057558570,-0.010423834,-0.086426303,1.057313,-0.113292,-3.755188
3.166666666,0.061817162,-0.001422165,-0.088721491,1.076085,-0.115267,-3.812672
3.200000000,0.065783024,0.008069752,-0.090916835,1.094854,-0.117261,-3.870157
3.233333333,0.069223911,0.018224714,-0.092931010,1.113622,-0.119274,-3.927643
3.266666666,0.076671213,0.036216229,-0.099084087,1.014377,-0.188336,-5.319824
3.300000000,0.086259499,0.056244571,-0.104265727,1.058611,-0.185484,-5.509073
3.333333333,0.093249917,0.075566597,-0.109499112,1.038691,-0.224124,-5.542836
3.366666666,0.096965425,0.092193082,-0.114715487,1.074640,-0.229035,-5.348377
3.400000000,0.099545293,0.109019317,-0.120649666,1.074516,-0.241367,-5.398591
3.433333333,0.101002492,0.126076356,-0.127502248,1.054228,-0.256126,-5.457727
3.466666666,0.100809261,0.144053280,-0.135167286,1.007372,-0.278611,-5.507786
3.500000000,0.096295781,0.161266223,-0.148212075,0.893331,-0.304252,-5.526012
3.533333333,0.085663125,0.176554576,-0.164210707,0.704356,-0.353053,-5.512361
3.566666666,0.072680235,0.190901682,-0.179451019,0.612805,-0.377693,-5.443182
3.600000000,0.061131913,0.206294835,-0.192654654,0.608779,-0.371013,-5.227441
3.633333333,0.053781502,0.226155698,-0.200215206,0.622238,-0.366877,-5.249218
3.666666666,0.049966179,0.249127850,-0.202736393,0.634136,-0.371095,-5.322181
3.700000000,0.045227688,0.273112744,-0.202540919,0.646029,-0.375327,-5.395147
3.733333333,0.022994664,0.280767888,-0.227663487,0.144233,-0.527466,-4.918050
3.766666666,0.000472021,0.279323697,-0.258348346,-0.030539,-0.615534,-4.299505
3.800000000,-0.014399996,0.281856686,-0.287945688,0.045601,-0.623074,-4.014286
3.833333333,-0.022806931,0.281214774,-0.323193491,0.089222,-0.660928,-3.375692
3.866666666,-0.019568751,0.264283985,-0.372973472,0.521741,-0.598567,-2.594046
3.900000000,-0.009073633,0.157586008,-0.451868355,1.241606,-0.271699,-0.359576
3.933333333,0.019559376,0.085856080,-0.502710521,1.683040,-0.147355,0.488675
3.966666666,0.035269715,-0.061179839,-0.300101548,1.730656,-0.176717,1.695961
4.000000000,0.021266842,-0.070635267,-0.211119801,1.683872,-0.168323,1.663779
4.033333333,0.018449932,-0.069807112,-0.191925213,1.737130,-0.126038,1.542219
4.066666666,0.020799750,-0.067025989,-0.183067888,1.820444,-0.158732,1.471079
