#timestamp [ns],p_RS_R_x [m],p_RS_R_y [m],p_RS_R_z [m],q_RS_w [],q_RS_x [],q_RS_y [],q_RS_z []
25759192601,5.941089615225791931e-02,2.190666496753692627e-01,8.089579343795776367e-01,9.988088630436452453e-01,5.237246097221886013e-03,-4.851072375636794609e-02,-3.688352087181222955e-04
25859292701,2.341490052640438080e-02,1.965804547071456909e-01,8.960098028182983398e-01,9.988077049541792540e-01,5.485358985502214631e-03,-4.850725343738768180e-02,-3.545771095479543838e-04
25959392801,-1.723592542111873627e-02,1.703716963529586792e-01,9.868365526199340820e-01,9.988080026445078641e-01,5.681134160089706259e-03,-4.847829674041716913e-02,-3.915521572688106938e-04
26059492901,-5.875935405492782593e-02,1.448991000652313232e-01,1.082601904869079590e+00,9.988091938418750537e-01,5.706763560851845982e-03,-4.845064303378380371e-02,-4.029096885836162475e-04
26159593002,-1.077506020665168762e-01,1.125543788075447083e-01,1.179177165031433105e+00,9.988090110428936574e-01,5.911910737448638868e-03,-4.842999439090503455e-02,-3.800187442326646782e-04
26259693102,-1.821779310703277588e-01,5.120125785470008850e-02,1.267577290534973145e+00,9.988325343479996787e-01,5.833539707589905504e-03,-4.795238798722699369e-02,-3.265405864870803100e-04
26359793202,-2.513548731803894043e-01,-1.011397503316402435e-02,1.358277201652526855e+00,9.988698380841027902e-01,5.586193085284799770e-03,-4.719828913441592028e-02,-4.031320334694519299e-04
26459893302,-2.999759018421173096e-01,-4.505541920661926270e-02,1.465763807296752930e+00,9.988736356267388095e-01,5.711088925161830407e-03,-4.710295442697489537e-02,-3.939509619835191638e-04
26559993402,-3.457067608833312988e-01,-7.530074566602706909e-02,1.581971883773803711e+00,9.988765478191675706e-01,5.707726211988515923e-03,-4.704158640901725391e-02,-3.914415335471242556e-04
26660093502,-3.939373493194580078e-01,-1.101881340146064758e-01,1.699103116989135742e+00,9.988833895758395531e-01,5.697411276180517140e-03,-4.689702219725704752e-02,-4.276017559884780911e-04
26760193602,-4.414372146129608154e-01,-1.430194973945617676e-01,1.823061347007751465e+00,9.988884250452927382e-01,5.661464716972929544e-03,-4.679382182741725904e-02,-4.476232535040785350e-04
26860293702,-4.909428656101226807e-01,-1.771866232156753540e-01,1.951526880264282227e+00,9.988928807487024164e-01,5.689359607093715313e-03,-4.669496684024081884e-02,-4.733377320333862176e-04
26960393802,-5.751267075538635254e-01,-1.884767413139343262e-01,2.065492391586303711e+00,9.989194214272048011e-01,5.151606599757629391e-03,-4.618774699393781574e-02,-3.774554329726395770e-04
27060493902,-5.723515748977661133e-01,-2.445824593305587769e-01,2.197617769241333008e+00,9.989611882653236519e-01,4.556234631903797669e-03,-4.533957488212335407e-02,-3.286563856893158042e-04
27160594003,-5.954390168190002441e-01,-2.748585045337677002e-01,2.343953847885131836e+00,9.989680773507850775e-01,4.403710157935910793e-03,-4.520253624261377778e-02,-3.442210856324634917e-04
27260694103,-6.245149374008178711e-01,-3.049156367778778076e-01,2.495585680007934570e+00,9.989654807261244551e-01,4.469139606242627724e-03,-4.525356746877985670e-02,-3.312705108227712264e-04
27360794203,-6.546623110771179199e-01,-3.351606428623199463e-01,2.649789571762084961e+00,9.989655394218728279e-01,4.499355894981193343e-03,-4.524922746476335578e-02,-3.380206195756668328e-04
27460894303,-6.887708306312561035e-01,-3.610874116420745850e-01,2.813838958740234375e+00,9.989670115704842868e-01,4.542374607205367648e-03,-4.521236657709899048e-02,-3.442896481405489993e-04
27560994403,-7.226511836051940918e-01,-3.890506327152252197e-01,2.982623815536499023e+00,9.989657740757401649e-01,4.841218577788197058e-03,-4.520853864921197535e-02,-3.645012235904852502e-04
27661094503,-5.013624429702758789e-01,-2.522238790988922119e-01,3.068463325500488281e+00,9.990306040407005428e-01,3.044505697412978364e-03,-4.391509839027080142e-02,2.175051823352070173e-04
27761194603,-4.652884900569915771e-01,-2.093704491853713989e-01,3.176587104797363281e+00,9.990500397235420049e-01,3.276197570793317349e-03,-4.345365062611457330e-02,2.547648514241859178e-04
27861294703,-3.059405982494354248e-01,-8.311259001493453979e-02,2.774233818054199219e+00,9.993194832232840108e-01,1.178903888108658038e-03,-3.686556706317392629e-02,3.325674100148208988e-04
27961394803,-6.195770204067230225e-02,2.835508435964584351e-02,1.888039231300354004e+00,9.994637950595167686e-01,-1.063778761980729848e-03,-3.272339696557760580e-02,4.123481624393405057e-04
28061494903,7.339501380920410156e-02,9.267935156822204590e-02,1.317641973495483398e+00,9.994421698311016788e-01,-8.597345593451531133e-04,-3.338322249262335589e-02,4.128871454055471602e-04
28161595004,9.260655194520950317e-02,1.126363202929496765e-01,1.395654439926147461e+00,9.994409474749373912e-01,-8.727350969190811845e-04,-3.341920405787748155e-02,4.331789330504634897e-04
28261695104,1.124090403318405151e-01,1.343479305505752563e-01,1.475739598274230957e+00,9.994397232351652782e-01,-8.857350973991438879e-04,-3.345518582301262867e-02,4.534694048200115153e-04
28361795204,1.945909857749938965e-01,1.560668349266052246e-01,1.251019358634948730e+00,9.993974897656369150e-01,-1.449060307802162238e-05,-3.470644635373933834e-02,3.461526556873395629e-04
28461895304,2.059204429388046265e-01,1.741231977939605713e-01,1.338706493377685547e+00,9.993951973900375707e-01,-1.935064470022075946e-05,-3.477224147594042136e-02,3.609460060055360306e-04
28561995404,2.152591496706008911e-01,1.970248073339462280e-01,1.434689164161682129e+00,9.993932997968960619e-01,-2.397261490491048471e-05,-3.482656399609662667e-02,3.770763993936170890e-04
28662095504,2.256204038858413696e-01,2.225625813007354736e-01,1.540062427520751953e+00,9.993919929466325014e-01,-3.771373881476318922e-05,-3.486384685506092179e-02,3.939470760120675858e-04
28762195604,2.412317246198654175e-01,2.484371364116668701e-01,1.639274239540100098e+00,9.993906105050994748e-01,-4.896600989119705849e-05,-3.490324512084733849e-02,4.107512730638745698e-04
28862295704,2.590357959270477295e-01,2.742100656032562256e-01,1.737109184265136719e+00,9.993891677548379926e-01,-6.017920513757533024e-05,-3.494431229105321446e-02,4.275409466160705395e-04
28962395804,2.724859416484832764e-01,2.971458435058593750e-01,1.839120864868164062e+00,9.993878550334387434e-01,-7.391048231978315460e-05,-3.498159866960354192e-02,4.444135704788606048e-04
29062495904,2.134639471769332886e-01,7.479569315910339355e-02,1.786790609359741211e+00,9.994415991017417955e-01,-7.805450394590049672e-04,-3.339956991168809008e-02,5.911548942191260318e-04
29162596005,2.313179224729537964e-01,7.256730645895004272e-02,1.823590755462646484e+00,9.994427670780232642e-01,-6.414952491735300723e-04,-3.336607502231415251e-02,6.699678161601955702e-04
29262696105,2.116645574569702148e-01,-3.422851674258708954e-03,1.466953992843627930e+00,9.993915713864185424e-01,3.013638593732589910e-03,-3.474360013597943553e-02,5.359792932714177970e-04
29362796205,2.070404589176177979e-01,2.186732832342386246e-03,1.503319025039672852e+00,9.993900664398165379e-01,3.018907972142902563e-03,-3.478606792983660739e-02,5.574711253503989274e-04
29462896305,1.840066760778427124e-01,1.805599778890609741e-02,1.289337992668151855e+00,9.993692249516477055e-01,3.532134303211329450e-03,-3.533219247467325047e-02,5.589469918569065551e-04
29562996405,1.428344845771789551e-01,2.343835495412349701e-02,1.354814648628234863e+00,9.993680683786928531e-01,3.526877390310951838e-03,-3.536508010185523271e-02,5.797847042707819556e-04
29663096505,7.098487019538879395e-02,2.901050262153148651e-02,1.453428983688354492e+00,9.993669364273550793e-01,3.520910176010986527e-03,-3.539730015463729562e-02,6.005906242262366943e-04
29763196605,4.773954302072525024e-02,2.216520346701145172e-02,1.569628477096557617e+00,9.993653156981305852e-01,3.647158336794090617e-03,-3.543014774599644034e-02,6.071625308489450546e-04
29863296705,-7.303161919116973877e-02,1.762967184185981750e-02,1.730645179748535156e+00,9.993697896238703526e-01,3.618478254448398174e-03,-3.530562842631999876e-02,6.654349599325169512e-04
29963396805,-2.380850762128829956e-01,1.561643742024898529e-02,1.905166387557983398e+00,9.993694923798387419e-01,3.693239274473686905e-03,-3.530656674081398411e-02,6.511751692934163475e-04
30063496905,-4.307382404804229736e-01,1.447278633713722229e-02,2.081373929977416992e+00,9.993683737609272422e-01,3.686429029779369690e-03,-3.533853767036784083e-02,6.719544390092593899e-04
30163597006,-6.537970304489135742e-01,1.547628641128540039e-02,2.251235961914062500e+00,9.993672536385347360e-01,3.679619477852303158e-03,-3.537050854759762192e-02,6.927341157133118420e-04
30263697106,-9.066936969757080078e-01,1.630420051515102386e-02,2.403358459472656250e+00,9.993661318857500753e-01,3.672809454103629235e-03,-3.540248309315322667e-02,7.135133261063066014e-04
30363797206,-1.191524386405944824e+00,1.841383613646030426e-02,2.540032863616943359e+00,9.993650085026667407e-01,3.665998725736348361e-03,-3.543446130688138879e-02,7.342926521631912848e-04
30463897306,-1.655638217926025391e+00,9.493741206824779510e-03,2.565985918045043945e+00,9.994607197721254721e-01,3.662623780704657873e-03,-3.262247591465185920e-02,7.930225871993779865e-04
30563997406,-2.469362497329711914e+00,-1.065612137317657471e-01,1.845621824264526367e+00,9.994482798569306325e-01,4.225719637462426771e-03,-3.293789486229520280e-02,6.117733308580719769e-04
30664097506,-2.994184017181396484e+00,-1.551082581281661987e-01,1.250893950462341309e+00,9.993690696885759728e-01,4.840491266201649850e-03,-3.518191299164766250e-02,5.149682905707270728e-04
