#timestamp [ns],w_RS_S_x [rad s^-1],w_RS_S_y [rad s^-1],w_RS_S_z [rad s^-1],a_RS_S_x [m s^-2],a_RS_S_y [m s^-2],a_RS_S_z [m s^-2]
46577479000,1.7453292519943295e-08,0.0,-1.7453292519943295e-08,-0.1484405029296875,-0.1005564697265625,9.773131176757811
46578473000,1.7453292519943295e-08,-1.7453292519943295e-08,-1.7453292519943295e-08,-0.16759411621093748,-0.086191259765625,9.749189160156249
46579468000,1.7453292519943295e-08,-1.7453292519943295e-08,0.0,-0.16759411621093748,-0.0526724365234375,9.739612353515625
46580463000,1.7453292519943295e-08,-1.7453292519943295e-08,0.0,-0.16759411621093748,-0.0143652099609375,9.730035546875
46581458000,1.7453292519943295e-08,-1.7453292519943295e-08,1.7453292519943295e-08,-0.16280571289062498,0.023942016601562498,9.706093530273437
46582454000,0.0,0.0,3.490658503988659e-08,-0.1484405029296875,0.0718260498046875,9.706093530273437
46583450000,-1.7453292519943295e-08,0.0,3.490658503988659e-08,-0.1292868896484375,0.086191259765625,9.710881933593749
46584444000,-5.235987755982989e-08,1.7453292519943295e-08,5.235987755982989e-08,-0.1197100830078125,0.08140285644531249,9.734823950195311
46585439000,-3.490658503988659e-08,1.7453292519943295e-08,5.235987755982989e-08,-0.1005564697265625,0.0718260498046875,9.749189160156249
46586434000,-3.490658503988659e-08,0.0,5.235987755982989e-08,-0.0909796630859375,0.047884033203124995,9.753977563476562
46587428000,-3.490658503988659e-08,0.0,1.7453292519943295e-08,-0.105344873046875,0.01915361328125,9.749189160156249
46588424000,-1.7453292519943295e-08,1.7453292519943295e-08,-1.7453292519943295e-08,-0.105344873046875,-0.009576806640625,9.744400756835937
46589420000,0.0,0.0,-1.7453292519943295e-08,-0.1005564697265625,-0.0526724365234375,9.744400756835937
46590415000,0.0,0.0,-3.490658503988659e-08,-0.105344873046875,-0.105344873046875,9.763554370117188
46591409000,0.0,-1.7453292519943295e-08,-1.7453292519943295e-08,-0.1149216796875,-0.15322890625,9.777919580078125
46592404000,0.0,0.0,-1.7453292519943295e-08,-0.1005564697265625,-0.19632453613281248,9.801861596679688
46593399000,1.7453292519943295e-08,0.0,0.0,-0.1005564697265625,-0.229843359375,9.811438403320311
46594394000,3.490658503988659e-08,0.0,0.0,-0.105344873046875,-0.26815058593749996,9.82580361328125
46595390000,3.490658503988659e-08,0.0,-1.7453292519943295e-08,-0.11013327636718749,-0.277727392578125,9.840168823242188
46596385000,1.7453292519943295e-08,0.0,-1.7453292519943295e-08,-0.11013327636718749,-0.27293898925781246,9.835380419921874
